:ID,company,twitter,name,id,image,:LABEL
299,"Sonatype, Inc.",@kadigrigg,Kadi Grigg,20570,https://lh3.googleusercontent.com/a-/AOh14GiLISPqqbczy1rsL3iwmRWEKQVikjjECFnVpDmThw=s96-c,Speaker
300,IBM,@gracejansen27,Grace Jansen,14903,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-fcfc1bda-1160-4b62-b7aa-00edb082fc4f.jpg,Speaker
301,GROUP9,@JaapCoomans,Jaap Coomans,2806,https://lh3.googleusercontent.com/a-/AOh14GjX5_p9WoIyquGbe49ex0PC4ShRGPIYxSn-WGTXbw=s96-c,Speaker
302,Smals,@jganseman,Joachim Ganseman,47001,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-b0018fa9-d85b-4283-ae29-10f32814a638.jpg,Speaker
303,Oracle Labs,@alina_yurenko,Alina Yurenko,20069,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-305e3338-b29b-4d78-a485-3fccf6f7786e.jpg,Speaker
304,JetBrains,@VBragilevsky,Vitaly Bragilevsky,48251,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-1d5767f5-d82c-4999-841b-e52ef2e40351.jpg,Speaker
305,Digital Asset,@jarek000000,Jarek Ratajski,18895,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-92a813da-8f39-4f0b-9d4b-7cf6a6961ca7.png,Speaker
306,Gama-Soft,@ramtop,Uberto Barbini,7102,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-ramtop.jpg,Speaker
307,Amazon Web Services,,Dennis Kieselhorst,6556,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-315c3b2f-6849-4967-a1dd-034fbc596713.jpg,Speaker
308,AWS - Amazon Web Services,,Maximilian Schellhorn,6557,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-374aae2e-1c8d-4f2d-bc1b-c7f2ae85f3c7.jpeg,Speaker
309,AngularArchitects,@rainerhahnekamp,Rainer Hahnekamp,11306,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-b5ff4f2e-212e-4e10-8aed-fcde657f3a92.jpg,Speaker
310,Google,@val_deleplace,Valentin Deleplace,20584,https://avatars.githubusercontent.com/u/13508141?v=4,Speaker
311,Red Hat,@mariofusco,Mario Fusco,5266,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-f5f3b231-7458-4dd8-9a89-026d09935d64.jpg,Speaker
312,Amazon,@kdnilsen,Kelvin Nilsen,15752,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-17b222e7-2431-4d17-b725-33dd4731f0d4.jpg,Speaker
313,Citerus,@tobiasmodig,Tobias Modig,9903,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-da4e7534-4cd7-4358-959c-071390d1c6a2.jpg,Speaker
314,Shodo,@JosianChevalier,Josian Chevalier,20058,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-d59d71eb-9798-4e7c-bb5b-a12560f00cd7.jpg,Speaker
315,Google,@_JamesWard,James Ward,20076,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-7cb8faf8-352c-47f3-9761-1538d529283a.jpg,Speaker
316,"Google, Inc.",@bhawkes,Brad Hawkes,20078,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-b002c6a5-8acd-4dac-aefb-8f7bd7720212.jpeg,Speaker
317,Google,@jpampuch,John Pampuch,20079,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-d923b7ce-45d1-47c5-b0c5-533a859d9314.jpeg,Speaker
318,Oracle,@graemerocher,Graeme Rocher,17941,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-a94d4174-4b1e-4ef0-bd62-eccde75c1c67.jpg,Speaker
319,Oracle,,Kris Foster,20066,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-53a07033-f2dc-476a-ae5a-a00c4f843678.jpg,Speaker
320,Gradle,@ljacomet,Louis Jacomet,10552,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-c17421bd-2e4c-4c20-ad15-1ec0c43cc986.jpeg,Speaker
321,Gradle Inc.,@DPUkyle,Kyle Moore,49102,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-6f96b6df-d31b-4794-9c17-f9b5907526b6.jpg,Speaker
322,Netflix,@aiborisov,Alex Borysov,20080,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-f0e94016-59a5-4883-ae14-11f9e8be8ae5.jpg,Speaker
323,Netflix,@mykyta_p,Mykyta Protsenko,20077,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-4c680e90-654e-41be-95c3-bb709beed20e.jpg,Speaker
324,OpenValue,@rbraam,Roy Braam,11309,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-9d0a27a1-bdd4-47e8-8669-7c499ab78b17.jpeg,Speaker
325,Oracle,@ammbra1508,Ana Maria Mihalceanu,12109,https://lh3.googleusercontent.com/a/AATXAJzfOobol8kyXlaSJ_MGXJQ0aK_4G9nq5xU-n1IN=s96-c,Speaker
326,Betclic,,Etienne Puissant,16711,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-79df3b61-c8ff-4aca-b411-12179d2d9908.jpg,Speaker
327,Betclic,@njozwiak,Jozwiak Nicolas,16078,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-b37ca819-8b2c-4740-b352-e2f99d69b189.jpg,Speaker
328,Neo4j,,Kristof Neys,49951,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-dedb5257-9693-4f76-99f5-32f47c7c55d5.jpeg,Speaker
329,bright-r,,Vincent van der Zijden,20576,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-642770eb-bb5e-4a55-bba3-794f1e611577.jpg,Speaker
330,Luminis,@nicokrijnen,Nico Krijnen,2801,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-d6c99034-c240-460e-b155-923dac6796c9.jpg,Speaker
331,Luminis,@jettroCoenradie,Jettro Coenradie,12102,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-21227b6c-410a-4ca4-bf3f-abf209696c04.jpg,Speaker
332,Red Hat,@holly_cummins,Holly Cummins,16716,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-034a75fe-ef5a-49b0-a207-7f8da2a46e32.jpg,Speaker
333,Red Hat,@edeandrea,Eric Deandrea,6559,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-159433a7-bb57-40d8-8a01-de97d65a95b1.jpg,Speaker
334,Elastic,@MahaALSayasneh,Maha Alsayasneh,18851,https://lh3.googleusercontent.com/a-/AFdZucp3lhxR7vijFDKRgHKtmsST3VltuwwVD8bJ_KFTaw=s96-c,Speaker
335,Capgemini,,Marion Nicolé,17904,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-d4db7470-8bf7-4c8c-84ed-0a93a2a9327f.png,Speaker
336,NFQ Asia,,Ludovic TOISON,4604,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-54d672fa-7e23-43bd-b965-a0423a580c2c.jpg,Speaker
337,,,Vincent Bodiou,17917,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-95543361-393d-436f-820c-b6f73458d61a.png,Speaker
338,JDriven,@alex90_ch,Alexander Chatzizacharias,16712,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-1b1c1e03-700a-45cd-a13e-48e5df78f5ee.jpg,Speaker
